Id;date;order_number;place;t_c;order_count;branch
116;2024-01-18;79293;4;Самовывоз;1;Купи Флакон
117;2024-01-18;79310;8;DPD;1;Купи Флакон
118;2024-01-18;79322;1;Самовывоз;1;Купи Флакон
119;2024-01-18;79302;3;DPD;1;Купи Флакон
120;2024-01-18;79215;3;DPD;1;Купи Флакон
121;2024-01-18;79337;7;Деловые линии;1;Купи Флакон
122;2024-01-18;79038;35;DPD;1;Купи Флакон
123;2024-01-19;79273;1;Boxberry;1;Купи Флакон
124;2024-01-19;79294;3;Самовывоз;1;Купи Флакон
125;2024-01-19;79348;1;Сдек;1;Купи Флакон
126;2024-01-19;79372;1;Сдек;1;Купи Флакон
127;2024-01-19;79373;1;Почта России;1;Купи Флакон
128;2024-01-19;79392;1;Самовывоз;1;Купи Флакон
129;2024-01-19;79364;3;DPD;1;Купи Флакон
130;2024-01-19;79356;2;DPD;1;Купи Флакон
131;2024-01-19;79425;1;Ярмарка мастеров;1;Маркетплейс
132;2024-01-22;79328;1;Самовывоз;1;Купи Флакон
133;2024-01-22;79332;1;Самовывоз;1;Купи Флакон
134;2024-01-22;76345;7;Самовывоз;1;Купи Флакон
135;2024-01-22;79180;2;DPD;1;Купи Флакон
136;2024-01-22;79413;1;Самовывоз;1;Купи Флакон
137;2024-01-22;79232;1;Сдек;1;Купи Флакон
138;2024-01-22;79388;1;Boxberry;1;Купи Флакон
139;2024-01-22;79259;12;ПЭК;1;Купи Флакон
140;2024-01-22;79380;5;ПЭК;1;Купи Флакон
141;2024-01-22;79386;4;DPD;1;Купи Флакон
142;2024-01-22;79383;4;Деловые линии;1;Купи Флакон
143;2024-01-22;79390;1;Почта России;1;Купи Флакон
144;2024-01-22;79400;8;DPD;1;Купи Флакон
145;2024-01-22;0;24;Wildberries;24;Маркетплейс
146;2024-01-23;79464;1;Самовывоз;1;Купи Флакон
147;2024-01-23;79257;20;DPD;1;Купи Флакон
148;2024-01-23;79439;1;Самовывоз;1;Купи Флакон
149;2024-01-23;79418;16;Самовывоз;1;Купи Флакон
150;2024-01-23;79455;1;DPD;1;Купи Флакон
151;2024-01-23;79466;4;DPD;1;Купи Флакон
152;2024-01-23;79457;1;Boxberry;1;Купи Флакон
153;2024-01-23;79431;1;Почта России;1;Купи Флакон
154;2024-01-23;79433;6;DPD;1;Купи Флакон
155;2024-01-23;79432;13;DPD;1;Купи Флакон
156;2024-01-23;79341;2;Деловые линии;1;Купи Флакон
157;2024-01-24;79009;9;ПЭК;1;Купи Флакон
158;2024-01-24;79481;1;Boxberry;1;Купи Флакон
159;2024-01-24;79485;1;Boxberry;1;Купи Флакон
160;2024-01-24;79492;1;Boxberry;1;Купи Флакон
161;2024-01-24;79505;1;Самовывоз;1;Купи Флакон
162;2024-01-24;79490;5;Самовывоз;1;Купи Флакон
163;2024-01-24;79491;3;Самовывоз;1;Купи Флакон
164;2024-01-24;79314;2;Сдек;1;Купи Флакон
165;2024-01-24;79465;2;DPD;1;Купи Флакон
166;2024-01-24;79458;8;DPD;1;Купи Флакон
167;2024-01-24;79529;1;Ярмарка мастеров;1;Маркетплейс
168;2024-01-25;79510;1;Boxberry;1;Купи Флакон
169;2024-01-25;79548;1;Самовывоз;1;Купи Флакон
170;2024-01-25;79530;14;Самовывоз;1;Купи Флакон
171;2024-01-25;79479;7;Самовывоз;1;Купи Флакон
172;2024-01-25;79444;1;Сдек;1;Купи Флакон
173;2024-01-25;79451;1;Сдек;1;Купи Флакон
174;2024-01-25;79381;1;Сдек;1;Купи Флакон
175;2024-01-25;79375;2;Сдек;1;Купи Флакон
176;2024-01-25;79533;9;Сдек;1;Купи Флакон
177;2024-01-25;79524;1;Почта России;1;Купи Флакон
178;2024-01-25;79467;1;Почта России;1;Купи Флакон
179;2024-01-25;79365;2;DPD;1;Купи Флакон
180;2024-01-26;79543;2;DPD;1;Купи Флакон
181;2024-01-26;79562;1;Самовывоз;1;Купи Флакон
182;2024-01-26;76552;2;Самовывоз;1;Купи Флакон
183;2024-01-26;79534;1;Самовывоз;1;Купи Флакон
184;2024-01-26;79547;1;Самовывоз;1;Купи Флакон
185;2024-01-26;79554;1;Почта России;1;Купи Флакон
186;2024-01-26;79538;34;Самовывоз;1;Купи Флакон
187;2024-01-26;79545;2;Сдек;1;Купи Флакон
188;2024-01-26;79306;2;Сдек;1;Купи Флакон
189;2024-01-29;0;67;Wildberries;67;Маркетплейс
190;2024-01-29;79605;2;Самовывоз;1;Купи Флакон
191;2024-01-29;79592;8;Самовывоз;1;Купи Флакон
192;2024-01-29;79585;15;Самовывоз;1;Купи Флакон
193;2024-01-29;79556;1;Самовывоз;1;Купи Флакон
194;2024-01-29;79560;1;Почта России;1;Купи Флакон
195;2024-01-29;79581;1;Почта России;1;Купи Флакон
196;2024-01-29;79583;1;Почта России;1;Купи Флакон
197;2024-01-29;79577;1;Boxberry;1;Купи Флакон
198;2024-01-29;79606;1;Boxberry;1;Купи Флакон
199;2024-01-29;79569;3;DPD;1;Купи Флакон
200;2024-01-29;79484;3;DPD;1;Купи Флакон
201;2024-01-29;79356;1;Сдек;1;Купи Флакон
202;2024-01-29;79382;2;DPD;1;Купи Флакон
203;2024-01-30;79620;1;Самовывоз;1;Купи Флакон
204;2024-01-30;79609;1;Самовывоз;1;Купи Флакон
205;2024-01-30;79500;1;Самовывоз;1;Купи Флакон
206;2024-01-30;79615;2;Самовывоз;1;Купи Флакон
207;2024-01-30;79600;2;Самовывоз;1;Купи Флакон
208;2024-01-30;79497;5;Самовывоз;1;Купи Флакон
209;2024-01-30;79614;1;Сдек;1;Купи Флакон
210;2024-01-30;79515;7;Сдек;1;Купи Флакон
211;2024-01-30;79608;1;Boxberry;1;Купи Флакон
212;2024-01-30;79624;1;Boxberry;1;Купи Флакон
213;2024-01-30;79617;3;DPD;1;Купи Флакон
214;2024-01-30;79591;2;DPD;1;Купи Флакон
215;2024-01-30;79565;2;ПЭК;1;Купи Флакон
216;2024-01-31;79528;1;DPD;1;Купи Флакон
217;2024-01-31;79689;2;Самовывоз;1;Купи Флакон
218;2024-01-31;76504;8;Самовывоз;1;Купи Флакон
219;2024-01-31;79478;1;Самовывоз;1;Купи Флакон
220;2024-01-31;79584;5;DPD;1;Купи Флакон
221;2024-01-31;79635;20;DPD;1;Купи Флакон
222;2024-01-31;79691;3;DPD;1;Купи Флакон
223;2024-01-31;79687;1;Сдек;1;Купи Флакон
224;2024-01-31;79674;1;Сдек;1;Купи Флакон
225;2024-01-31;79659;1;Сдек;1;Купи Флакон
226;2024-02-01;79661;2;Сдек;1;Купи Флакон
227;2024-02-01;79685;3;Самовывоз;1;Купи Флакон
228;2024-02-01;7968;3;Самовывоз;1;Купи Флакон
229;2024-02-01;79699;1;Самовывоз;1;Купи Флакон
230;2024-02-01;79281;4;Самовывоз;1;Купи Флакон
231;2024-02-01;79686;1;Самовывоз;1;Купи Флакон
232;2024-02-01;79574;1;Boxberry;1;Купи Флакон
233;2024-02-01;79680;1;Boxberry;1;Купи Флакон
234;2024-02-01;79671;1;DPD;1;Купи Флакон
235;2024-02-01;79374;2;DPD;1;Купи Флакон
236;2024-02-01;79636;1;Сдек;1;Купи Флакон
237;2024-02-02;79446;4;DPD;1;Купи Флакон
238;2024-02-02;79716;2;DPD;1;Купи Флакон
239;2024-02-02;79745;1;Самовывоз;1;Купи Флакон
240;2024-02-02;79417;3;Самовывоз;1;Купи Флакон
241;2024-02-02;79673;1;Сдек;1;Купи Флакон
242;2024-02-02;79706;1;Сдек;1;Купи Флакон
243;2024-02-02;79622;2;DPD;1;Купи Флакон
244;2024-02-02;79719;14;DPD;1;Купи Флакон
245;2024-02-02;79676;1;Сдек;1;Купи Флакон
246;2024-02-02;79710;1;Сдек;1;Купи Флакон
247;2024-02-02;79692;1;Сдек;1;Купи Флакон
248;2024-02-02;79598;1;Сдек;1;Купи Флакон
249;2024-02-02;79693;28;DPD;1;Купи Флакон
250;2024-02-05;79711;1;Почта России;1;Купи Флакон
251;2024-02-05;79731;1;Самовывоз;1;Купи Флакон
252;2024-02-05;79788;1;Самовывоз;1;Купи Флакон
253;2024-02-05;79781;1;Самовывоз;1;Купи Флакон
254;2024-02-05;79754;1;Самовывоз;1;Купи Флакон
255;2024-02-05;79688;1;Самовывоз;1;Купи Флакон
256;2024-02-05;79733;1;Boxberry;1;Купи Флакон
257;2024-02-05;79753;1;Boxberry;1;Купи Флакон
258;2024-02-05;79755;1;Boxberry;1;Купи Флакон
259;2024-02-05;79708;1;Boxberry;1;Купи Флакон
260;2024-02-05;79739;1;Boxberry;1;Купи Флакон
261;2024-02-05;79727;1;Boxberry;1;Купи Флакон
262;2024-02-05;79704;2;DPD;1;Купи Флакон
263;2024-02-05;75909;1;DPD;1;Купи Флакон
264;2024-02-05;79742;24;DPD;1;Купи Флакон
265;2024-02-05;0;28;Wildberries;28;Маркетплейс
266;2024-02-06;79778;1;Boxberry;1;Купи Флакон
267;2024-02-06;79774;1;Boxberry;1;Купи Флакон
268;2024-02-06;79717;1;Boxberry;1;Купи Флакон
269;2024-02-06;79820;1;Самовывоз;1;Купи Флакон
270;2024-02-06;79777;1;Самовывоз;1;Купи Флакон
271;2024-02-06;79722;1;Самовывоз;1;Купи Флакон
272;2024-02-06;79655;1;Сдек;1;Купи Флакон
273;2024-02-06;79792;2;Самовывоз;1;Купи Флакон
274;2024-02-06;79801;1;Деловые линии;1;Купи Флакон
275;2024-02-06;79794;2;ПЭК;1;Купи Флакон
